Frame,Height,pxDist,cmDist,gsdE,gsdT,predE,predT,errE2,errT2
1,23.44,237.98,174,0.787,0.782,187.29026,186.10036,176.6310108675997,146.41871212959987
2,23.44,235.99,174,0.787,0.782,185.72413,184.54418,137.45522425690007,111.17973187240024
3,23.44,218.98,174,0.787,0.782,172.33726,171.24236,2.7647043076000455,7.604578369600051
4,23.44,241.98,174,0.787,0.782,190.43826,189.22836,270.21639182760043,231.9029482896003
5,23.44,220.98,174,0.787,0.782,173.91126,172.80636,0.007874787600000243,1.4247764495999709
6,23.44,223.98,174,0.787,0.782,176.27226,175.15236,5.163165507599948,1.327933569599971
7,23.44,224.99,174,0.787,0.782,177.06713000000002,175.94218,9.407286436900124,3.772063152400029
8,23.44,216.98,174,0.787,0.782,170.76326,169.67836,10.476485827599983,18.676572289600017
9,23.44,222.0,174,0.787,0.782,174.714,173.604,0.509795999999998,0.15681599999998938
10,23.44,222.99,174,0.787,0.782,175.49313,174.37818000000001,2.2294371969000233,0.14302011240001106
11,23.44,216.98,174,0.787,0.782,170.76326,169.67836,10.476485827599983,18.676572289600017
12,23.44,242.99,174,0.787,0.782,191.23313000000002,190.01818,296.9807695969006,256.58209051240004
13,23.44,222.99,174,0.787,0.782,175.49313,174.37818000000001,2.2294371969000233,0.14302011240001106
14,23.44,222.0,174,0.787,0.782,174.714,173.604,0.509795999999998,0.15681599999998938
15,23.44,226.0,174,0.787,0.782,177.862,176.732,14.91504399999996,7.463823999999996
16,23.44,216.98,174,0.787,0.782,170.76326,169.67836,10.476485827599983,18.676572289600017
17,23.44,222.97,174,0.787,0.782,175.47739,174.36254,2.182681212100041,0.13143525159999683
18,23.44,222.0,174,0.787,0.782,174.714,173.604,0.509795999999998,0.15681599999998938
19,23.44,222.97,174,0.787,0.782,175.47739,174.36254,2.182681212100041,0.13143525159999683
20,23.44,230.99,174,0.787,0.782,181.78913000000003,180.63418000000001,60.67054615690044,44.0123442724002
21,23.44,231.98,174,0.787,0.782,182.56826,181.40836,73.41507942760016,54.88379788959982
22,23.45,214.98,174,0.788,0.783,169.40424,168.32934,21.121009977600117,32.15638483559998
23,23.45,227.97,174,0.788,0.783,179.64036000000002,178.50051000000002,31.81366092960017,20.254590260100176
24,23.45,240.96,174,0.788,0.783,189.87648000000002,188.67168,252.0626171904005,215.25819402240026
25,23.45,226.0,174,0.788,0.783,178.088,176.958,16.71174399999995,8.74976399999999
26,23.45,239.97,174,0.788,0.783,189.09636,187.89651,227.90008524960012,193.11299018010018
27,23.45,217.97,174,0.788,0.783,171.76036000000002,170.67051,5.015987329599911,11.08550366009995
28,23.44,218.98,174,0.787,0.782,172.33726,171.24236,2.7647043076000455,7.604578369600051
29,23.44,219.98,174,0.787,0.782,173.12426,172.02436,0.7669205476000132,3.903153409599994
30,23.44,231.97,174,0.787,0.782,182.56039,181.40054,73.28027695210021,54.767992291600095
31,23.44,217.98,174,0.787,0.782,171.55026,170.46036,6.001226067599958,12.52905132959994
32,23.44,239.98,174,0.787,0.782,188.86426,187.66436,220.94622534760003,186.71473420959967
33,23.44,229.98,174,0.787,0.782,180.99426,179.84436,48.919672947599956,34.15654380959994
34,23.44,239.99,174,0.787,0.782,188.87213000000003,187.67218000000003,221.1802507369008,186.9285059524007
35,23.44,239.99,174,0.787,0.782,188.87213000000003,187.67218000000003,221.1802507369008,186.9285059524007
36,23.44,221.98,174,0.787,0.782,174.69826,173.58836,0.48756702760000664,0.16944748960000458
37,23.44,211.97,174,0.787,0.782,166.82039,165.76054,51.54679975209995,67.88870109160014
38,23.44,240.95,174,0.787,0.782,189.62765,188.4229,244.22344452249965,208.02004440999997
39,23.44,218.96,174,0.787,0.782,172.32152000000002,171.22672,2.8172951103999297,7.691081958399999
40,23.43,219.98,174,0.787,0.782,173.12426,172.02436,0.7669205476000132,3.903153409599994
41,23.43,222.97,174,0.787,0.782,175.47739,174.36254,2.182681212100041,0.13143525159999683
42,23.43,226.97,174,0.787,0.782,178.62539,177.49054,21.394232652100094,12.183869491600069
43,23.43,230.98,174,0.787,0.782,181.78126,180.62636,60.54800718760005,43.90864684960007
44,23.43,241.99,174,0.787,0.782,190.44613,189.23618000000002,270.47519197690036,232.14118099240056
45,23.43,220.98,174,0.787,0.782,173.91126,172.80636,0.007874787600000243,1.4247764495999709
46,23.41,229.98,174,0.786,0.781,180.76427999999999,179.61438,45.7554839183998,31.521262784400125
47,23.41,226.98,174,0.786,0.781,178.40628,177.27138,19.415303438400084,10.701927104399958
48,23.41,231.99,174,0.786,0.781,182.34414,181.18419,69.62467233960017,51.61258595610001
50,23.41,229.0,174,0.786,0.781,179.994,178.84900000000002,35.928036,23.512801000000174
