Frame,Height,pxDist,cmDist,gsdE,gsdT,predE,predT,errE2,errT2
1,85.75,70.0,174,2.692,2.862,188.44,200.34,208.51359999999994,693.7956000000001
3,85.76,77.0,174,2.692,2.862,207.28400000000002,220.374,1107.8246560000014,2150.5478759999996
6,85.76,75.0,174,2.692,2.862,201.9,214.65,778.4100000000003,1652.4225000000004
7,85.76,77.0,174,2.692,2.862,207.28400000000002,220.374,1107.8246560000014,2150.5478759999996
8,85.76,71.0,174,2.692,2.862,191.132,203.202,293.5054240000002,852.7568039999999
9,85.78,75.0,174,2.693,2.863,201.975,214.725,782.6006249999997,1658.5256249999995
10,85.78,76.0,174,2.693,2.863,204.668,217.588,940.5262240000004,1899.9137439999995
11,85.78,74.0,174,2.693,2.863,199.282,211.862,639.1795240000006,1433.5310439999996
12,85.78,72.0,174,2.693,2.863,193.89600000000002,206.136,395.8508160000006,1032.7224959999996
13,85.78,71.0,174,2.693,2.863,191.203,203.273,295.9432090000001,856.9085289999998
18,85.8,62.0,174,2.693,2.863,166.966,177.506,49.47715599999989,12.292036000000001
19,85.8,56.0,174,2.693,2.863,150.808,160.328,537.8688640000004,186.92358399999992
23,85.81,70.0,174,2.693,2.864,188.51,200.48,210.54009999999974,701.1903999999995
24,85.81,56.0,174,2.693,2.864,150.808,160.384,537.8688640000004,185.39545600000037
25,85.81,70.0,174,2.693,2.864,188.51,200.48,210.54009999999974,701.1903999999995
26,85.81,62.0,174,2.693,2.864,166.966,177.56799999999998,49.47715599999989,12.730623999999883
27,85.83,63.0,174,2.694,2.864,169.722,180.432,18.301283999999928,41.37062399999984
28,85.83,62.0,174,2.694,2.864,167.028,177.56799999999998,48.60878400000012,12.730623999999883
29,85.83,69.0,174,2.694,2.864,185.886,197.61599999999999,141.27699599999988,557.7154559999993
30,85.83,64.0,174,2.694,2.864,172.416,183.296,2.50905600000001,86.41561599999986
31,85.83,74.0,174,2.694,2.864,199.356,211.93599999999998,642.9267359999998,1439.1400959999983
33,85.84,64.0,174,2.694,2.865,172.416,183.36,2.50905600000001,87.60960000000026
34,85.84,57.0,174,2.694,2.865,153.558,163.305,417.8753640000003,114.38302499999985
35,85.84,64.0,174,2.694,2.865,172.416,183.36,2.50905600000001,87.60960000000026
37,85.84,57.0,174,2.694,2.865,153.558,163.305,417.8753640000003,114.38302499999985
