Frame,Height,pxDist,cmDist,gsdE,gsdT,predE,predT,errE2,errT2
1,62.5,92.99,174,1.994,2.086,185.42206,193.97713999999996,130.46345464359973,399.0861225795985
4,62.51,79.98,174,1.995,2.086,159.5601,166.83828,208.51071200999985,51.29023335840004
5,62.51,96.99,174,1.995,2.086,193.49505,202.32113999999999,380.0569745024997,802.0869708995992
7,62.51,83.98,174,1.995,2.086,167.54010000000002,175.18228,41.730308009999696,1.39778599839998
8,62.51,95.99,174,1.995,2.086,191.50005,200.23513999999997,306.25175000249953,688.2825708195986
10,62.52,90.98,174,1.995,2.087,181.50510000000003,189.87526000000003,56.32652601000041,252.02388006760083
11,62.52,87.99,174,1.995,2.087,175.54005,183.63513,2.3717540025000243,92.83573011690007
12,62.52,86.97,174,1.995,2.087,173.50515000000001,181.50639,0.2448765224999855,56.34589083210015
13,62.52,82.98,174,1.995,2.087,165.54510000000002,173.17926000000003,71.48533400999968,0.6736141475999545
14,62.52,92.99,174,1.995,2.087,185.51505,194.07013,132.59637650250005,402.81011821690026
15,62.52,93.99,174,1.995,2.087,187.51005,196.15713,182.52145100250019,490.9384098368998
16,62.52,87.99,174,1.995,2.087,175.54005,183.63513,2.3717540025000243,92.83573011690007
17,62.52,83.99,174,1.995,2.087,167.56005,175.28713000000002,41.47295600250013,1.656703636900049
18,62.52,100.99,174,1.995,2.087,201.47505,210.76613,754.8783725025006,1351.7483151769004
20,62.52,90.99,174,1.995,2.087,181.52505,189.89613,56.6263775024999,252.68694897689997
21,62.52,84.98,174,1.995,2.087,169.53510000000003,177.35326000000003,19.935332009999748,11.24435262760023
23,62.52,88.99,174,1.995,2.087,177.53505,185.72213,12.496578502500087,137.40833173689984
24,62.52,94.99,174,1.995,2.087,189.50505,198.24413,240.40657550250035,587.7778394569007
25,62.52,86.99,174,1.995,2.087,173.54505,181.54813000000001,0.20697950249999694,56.97426649690022
26,62.52,85.99,174,1.995,2.087,171.55005,179.46113,6.002255002500005,29.823940876899968
27,62.52,92.98,174,1.995,2.087,185.4951,194.04926000000003,132.13732401000019,401.9728265476013
28,62.52,86.99,174,1.995,2.087,173.54505,181.54813000000001,0.20697950249999694,56.97426649690022
29,62.52,77.98,174,1.995,2.087,155.57010000000002,162.74426000000003,339.66121400999907,126.69168294759943
30,62.52,94.99,174,1.995,2.087,189.50505,198.24413,240.40657550250035,587.7778394569007
31,62.52,79.99,174,1.995,2.087,159.58005,166.93913,207.9349580025,49.855885156899916
33,62.52,77.0,174,1.995,2.087,153.615,160.699,415.5482249999996,176.91660099999967
34,62.53,88.99,174,1.995,2.087,177.53505,185.72213,12.496578502500087,137.40833173689984
37,62.53,99.99,174,1.995,2.087,199.48005,208.67913000000001,649.2329480025003,1202.6420575569011
38,62.53,83.99,174,1.995,2.087,167.56005,175.28713000000002,41.47295600250013,1.656703636900049
39,62.53,100.99,174,1.995,2.087,201.47505,210.76613,754.8783725025006,1351.7483151769004
40,62.53,85.98,174,1.995,2.087,171.5301,179.44026000000002,6.100406009999978,29.596428867600256
42,62.53,95.97,174,1.995,2.087,191.46015,200.28939000000003,304.85683802249997,691.1320265721014
43,62.53,100.95,174,1.995,2.087,201.39525,210.68265000000002,750.4997225625002,1345.6168110225017
