Frame,Objects,Pre-processing Time,Inference Time,Post-processing Time
1,19,0.6964206695556641,60.63413619995117,2.599477767944336
2,19,0.8156299591064453,51.62501335144043,2.6743412017822266
3,19,0.7433891296386719,52.16407775878906,2.660989761352539
4,19,0.8218288421630859,51.23496055603027,2.6581287384033203
5,19,0.7526874542236328,51.575422286987305,2.6521682739257812
6,19,0.7650852203369141,51.60212516784668,2.660989761352539
7,19,0.7565021514892578,50.734519958496094,2.7065277099609375
8,20,0.8032321929931641,50.875186920166016,2.6488304138183594
9,20,0.797271728515625,51.67055130004883,2.6884078979492188
10,20,0.7524490356445312,51.40972137451172,2.6328563690185547
11,22,0.7488727569580078,51.8498420715332,2.7077198028564453
12,22,0.7462501525878906,51.738739013671875,2.644062042236328
13,22,0.7474422454833984,51.54728889465332,2.651214599609375
14,22,0.7457733154296875,52.31785774230957,2.6853084564208984
15,22,0.820159912109375,52.40750312805176,2.6531219482421875
16,22,0.7531642913818359,50.61984062194824,2.8052330017089844
17,22,0.7417201995849609,51.320791244506836,2.603769302368164
18,22,0.7407665252685547,50.820350646972656,2.635955810546875
19,22,0.8080005645751953,50.942182540893555,2.6984214782714844
20,22,0.7970333099365234,51.53775215148926,2.6476383209228516
21,22,0.7381439208984375,51.36299133300781,2.6934146881103516
22,23,0.7436275482177734,52.34980583190918,2.655506134033203
23,24,0.7386207580566406,51.39470100402832,2.615690231323242
24,24,0.7464885711669922,52.31738090515137,2.640247344970703
25,24,0.7390975952148438,51.4223575592041,2.7115345001220703
26,24,0.7336139678955078,52.451133728027344,2.6547908782958984
27,24,0.7331371307373047,50.733089447021484,2.624988555908203
28,24,0.7393360137939453,51.38754844665527,2.6993751525878906
29,24,0.7598400115966797,50.8267879486084,2.659320831298828
30,24,0.7994174957275391,50.99344253540039,2.6187896728515625
31,24,0.7963180541992188,51.186323165893555,2.6946067810058594
32,24,0.7441043853759766,51.630258560180664,2.6624202728271484
33,24,0.7379055023193359,51.95903778076172,2.6335716247558594
34,24,0.7448196411132812,51.54228210449219,2.6803016662597656
35,24,0.7531642913818359,52.40201950073242,2.7151107788085938
36,24,0.7367134094238281,51.52773857116699,2.627849578857422
37,25,0.7529258728027344,52.860260009765625,2.645254135131836
38,25,0.7426738739013672,50.87733268737793,2.9892921447753906
39,25,0.7393360137939453,51.57136917114258,2.682924270629883
40,25,0.7331371307373047,50.835371017456055,2.6552677154541016
41,25,0.7989406585693359,51.74612998962402,2.640962600708008
42,25,0.8063316345214844,50.70090293884277,2.6962757110595703
43,25,0.8063316345214844,51.64837837219238,2.648591995239258
44,25,0.7383823394775391,51.36919021606445,2.635478973388672
45,25,0.7410049438476562,52.253007888793945,2.6612281799316406
46,25,0.7488727569580078,51.43237113952637,2.6388168334960938
47,25,0.7390975952148438,52.59394645690918,2.676248550415039
48,27,0.7262229919433594,51.4373779296875,2.6786327362060547
49,27,0.7455348968505859,52.37984657287598,2.719879150390625
50,27,0.7593631744384766,50.90451240539551,3.2601356506347656
51,27,0.7414817810058594,51.311492919921875,2.6373863220214844
52,27,0.7290840148925781,50.99654197692871,2.6433467864990234
53,26,0.7901191711425781,51.02348327636719,2.6426315307617188
54,26,0.7851123809814453,50.98271369934082,2.688169479370117
55,26,0.789642333984375,50.837039947509766,2.6607513427734375
56,26,0.7405281066894531,52.00648307800293,2.644062042236328
57,26,0.7398128509521484,51.4829158782959,2.6383399963378906
58,26,0.7307529449462891,51.74612998962402,2.6502609252929688
59,26,0.7901191711425781,51.50198936462402,2.6454925537109375
60,26,0.7319450378417969,52.09803581237793,2.6819705963134766
61,26,0.7388591766357422,51.36728286743164,2.7120113372802734
62,26,0.7338523864746094,52.33287811279297,2.6674270629882812
63,26,0.7476806640625,50.74048042297363,2.647876739501953
64,26,0.7288455963134766,51.49412155151367,2.6421546936035156
65,26,0.7460117340087891,50.75812339782715,2.631664276123047
66,26,0.7936954498291016,51.67961120605469,2.6733875274658203
67,26,0.7953643798828125,50.66657066345215,2.6216506958007812
68,26,0.8139610290527344,51.7430305480957,2.6204586029052734
69,26,0.7469654083251953,51.572561264038086,2.635955810546875
70,26,0.7929801940917969,52.22821235656738,2.620220184326172
71,27,0.7405281066894531,51.53656005859375,2.6314258575439453
72,27,0.7336139678955078,52.07943916320801,2.665996551513672
73,27,0.7412433624267578,51.746368408203125,2.7055740356445312
74,27,0.7584095001220703,51.804542541503906,2.7780532836914062
75,27,0.7410049438476562,52.08086967468262,2.6373863220214844
76,27,0.7746219635009766,50.73142051696777,2.6404857635498047
77,27,0.7483959197998047,51.5744686126709,2.637147903442383
78,27,0.7295608520507812,50.78387260437012,2.6853084564208984
79,27,0.8013248443603516,51.62549018859863,2.684354782104492
80,27,0.7886886596679688,50.649404525756836,2.649068832397461
81,27,0.8058547973632812,51.78427696228027,2.6493072509765625
82,27,0.7266998291015625,51.72443389892578,2.6504993438720703
83,27,0.7390975952148438,52.15263366699219,2.631664276123047
84,27,0.7426738739013672,51.529645919799805,2.6428699493408203
85,28,0.7510185241699219,51.74827575683594,2.6526451110839844
86,28,0.7269382476806641,52.104949951171875,2.6574134826660156
87,28,0.7369518280029297,51.38683319091797,2.6865005493164062
88,28,0.7333755493164062,52.44302749633789,2.6803016662597656
89,28,0.7414817810058594,50.80986022949219,2.8791427612304688
90,28,0.7429122924804688,51.3916015625,2.623319625854492
91,28,0.7584095001220703,51.12934112548828,2.6199817657470703
92,28,0.7982254028320312,51.29194259643555,2.63214111328125
93,28,0.8008480072021484,51.070213317871094,2.624034881591797
94,28,0.7953643798828125,50.954580307006836,2.6788711547851562
95,28,0.7498264312744141,52.12116241455078,2.6950836181640625
96,28,0.7433891296386719,51.32937431335449,2.7115345001220703
97,28,0.751495361328125,51.90610885620117,2.719402313232422
98,28,0.7534027099609375,51.49245262145996,2.6488304138183594
99,28,0.743865966796875,52.643537521362305,2.6636123657226562
100,28,0.7555484771728516,51.69034004211426,2.6607513427734375
101,28,0.7421970367431641,51.99885368347168,2.6559829711914062
102,28,0.7395744323730469,51.89085006713867,2.6650428771972656
103,28,0.7755756378173828,50.8112907409668,2.643108367919922
104,28,0.7393360137939453,51.38897895812988,2.680540084838867
105,28,0.7548332214355469,50.74262619018555,2.646923065185547
106,28,0.8399486541748047,51.46527290344238,2.611875534057617
107,28,0.8106231689453125,50.64821243286133,2.650737762451172
108,28,0.8072853088378906,51.486968994140625,2.6557445526123047
109,28,0.7479190826416016,51.55539512634277,2.646207809448242
110,28,0.7436275482177734,52.40511894226074,2.667665481567383
111,28,0.7348060607910156,51.50318145751953,2.703428268432617
112,28,0.7421970367431641,51.560401916503906,2.684354782104492
113,28,0.7524490356445312,52.5360107421875,2.6731491088867188
114,28,0.7376670837402344,51.48506164550781,2.7031898498535156
115,28,0.7357597351074219,52.29473114013672,2.675294876098633
116,28,0.7374286651611328,51.72419548034668,2.696514129638672
117,28,0.7336139678955078,51.149606704711914,2.842426300048828
118,28,0.7433891296386719,51.18560791015625,2.6247501373291016
119,28,0.7412433624267578,50.71067810058594,2.6154518127441406
120,28,0.7979869842529297,51.360130310058594,2.628803253173828
121,28,0.8003711700439453,50.61936378479004,2.628803253173828
122,28,0.7956027984619141,51.587581634521484,2.6137828826904297
123,28,1.0371208190917969,50.74644088745117,2.6319026947021484
124,28,0.8084774017333984,52.472591400146484,2.6044845581054688
125,28,0.7419586181640625,51.61094665527344,2.6230812072753906
126,28,0.7381439208984375,51.87225341796875,2.6166439056396484
127,29,0.7364749908447266,52.01387405395508,2.631664276123047
128,29,0.7383823394775391,51.47528648376465,2.6128292083740234
129,29,0.7443428039550781,52.31761932373047,2.6378631591796875
130,28,0.7476806640625,51.612138748168945,3.139019012451172
131,28,0.7419586181640625,50.95338821411133,2.6853084564208984
132,28,0.7469654083251953,51.241159439086914,2.625703811645508
133,28,0.7503032684326172,50.77171325683594,2.6323795318603516
134,28,0.7500648498535156,51.47957801818848,2.6102066040039062
135,28,0.7979869842529297,50.78744888305664,2.6140213012695312
136,27,0.8080005645751953,51.53155326843262,2.6092529296875
137,27,0.79345703125,50.91118812561035,2.6078224182128906
138,27,0.7376670837402344,51.77807807922363,2.643585205078125
139,27,0.7536411285400391,51.75423622131348,2.629995346069336
140,27,0.7381439208984375,51.45001411437988,2.6199817657470703
141,27,0.7407665252685547,52.07371711730957,2.6171207427978516
142,27,0.7407665252685547,51.44214630126953,2.6226043701171875
143,27,0.7412433624267578,52.47020721435547,2.6314258575439453
144,26,0.7317066192626953,51.458120346069336,2.62451171875
145,27,0.7352828979492188,51.790475845336914,3.1456947326660156
146,27,0.7364749908447266,50.9495735168457,2.6297569274902344
147,27,0.7379055023193359,51.117897033691406,2.6221275329589844
148,26,0.7390975952148438,51.2542724609375,2.6297569274902344
149,26,0.7960796356201172,50.96077919006348,2.621889114379883
150,26,0.7970333099365234,51.26547813415527,2.627134323120117
151,26,0.7393360137939453,51.57756805419922,2.629518508911133
152,26,0.7364749908447266,52.17099189758301,2.6237964630126953
153,26,0.8008480072021484,51.37777328491211,2.6237964630126953
154,26,0.8087158203125,53.891658782958984,2.7327537536621094
155,26,0.7352828979492188,51.52249336242676,2.629995346069336
156,26,0.7412433624267578,52.23870277404785,2.6242733001708984
157,26,0.7445812225341797,51.7430305480957,2.620697021484375
158,26,0.7522106170654297,51.72562599182129,2.6137828826904297
159,26,0.7412433624267578,52.04463005065918,2.6099681854248047
160,26,0.7402896881103516,50.795793533325195,2.6404857635498047
161,26,0.736236572265625,51.529645919799805,2.6144981384277344
162,26,0.7371902465820312,50.63629150390625,2.602815628051758
163,27,0.8084774017333984,51.62477493286133,2.605915069580078
164,27,0.7956027984619141,50.76766014099121,2.6259422302246094
165,26,0.8070468902587891,51.79548263549805,2.6178359985351562
166,26,0.7638931274414062,51.735877990722656,2.6297569274902344
167,27,0.7424354553222656,51.96380615234375,2.616405487060547
168,27,0.7393360137939453,51.94664001464844,2.627849578857422
169,27,0.7345676422119141,51.688194274902344,2.639293670654297
170,27,0.7531642913818359,52.10423469543457,2.626180648803711
171,27,0.7393360137939453,51.5291690826416,2.6357173919677734
172,27,0.7345676422119141,52.466392517089844,2.6280879974365234
173,27,0.7328987121582031,51.02705955505371,2.6235580444335938
174,27,0.7388591766357422,51.52320861816406,2.62451171875
175,27,0.7340908050537109,50.85897445678711,2.604961395263672
176,27,0.7357597351074219,51.4683723449707,2.6421546936035156
177,27,0.7941722869873047,51.04660987854004,2.6226043701171875
178,29,0.7944107055664062,51.06019973754883,2.6247501373291016
179,29,0.79345703125,51.21874809265137,2.6268959045410156
180,29,0.8194446563720703,50.71592330932617,2.6154518127441406
181,29,0.7541179656982422,52.00910568237305,2.6137828826904297
